CORR	DIST	REPR	CHAR	FREQ
[k] : [h]	0.390	0.905	0.545	10764|1996
[h] : [-]	0.353	0.737	0.477	1996|0
[x] : [-]	0.345	0.683	0.458	357|0
[ʒ] : [ʃ]	0.288	0.913	0.437	568|3427
[sː] : [ts]	0.280	0.978	0.436	1396|1649
[t] : [θ]	0.287	0.865	0.431	15823|3654
[z] : [ts]	0.279	0.943	0.430	1325|1649
[ɲ] : [ɲː]	0.269	0.772	0.399	82|2303
[k] : [x]	0.270	0.724	0.394	10764|357
[β] : [ɸ]	0.269	0.645	0.380	238|1666
[d] : [ð]	0.246	0.808	0.377	6845|775
[ʒ] : [dʒː]	0.234	0.941	0.375	568|1272
[bː] : [β]	0.239	0.823	0.370	454|238
[p] : [ɸ]	0.222	0.878	0.354	12519|1666
[d] : [θ]	0.213	0.868	0.342	6845|3654
[ʒ] : [dʒ]	0.202	0.939	0.332	568|1186
[ʒ] : [z]	0.201	0.927	0.331	568|1325
[ð] : [θ]	0.191	0.595	0.289	775|3654
[b] : [β]	0.174	0.830	0.288	9197|238
[dz] : [dzː]	0.156	0.970	0.269	805|1485
[-] : [gʲ]	0.157	0.916	0.268	0|534
[tʲ] : [-]	0.153	0.716	0.251	75|0
[w] : [-]	0.136	0.952	0.238	1683|0
[sː] : [tsː]	0.133	0.981	0.234	1396|3376
[g] : [ɣ]	0.135	0.799	0.231	7232|785
[nː] : [ɲ]	0.133	0.774	0.228	816|82
[ʃ] : [tʃ]	0.126	0.905	0.221	3427|8213
[tʲ] : [j]	0.128	0.720	0.217	75|7339
[gʲ] : [d]	0.118	0.934	0.209	534|6845
[sː] : [dzː]	0.117	0.970	0.208	1396|1485
[tʲ] : [k]	0.117	0.728	0.201	75|10764
[tʲ] : [kʲ]	0.117	0.694	0.200	75|1103
[kʲ] : [k]	0.110	0.918	0.196	1103|10764
[ɣ] : [h]	0.088	0.674	0.155	785|1996
[x] : [h]	0.080	0.668	0.144	357|1996
[t] : [tʲ]	0.075	0.782	0.138	15823|75
[dz] : [z]	0.073	0.976	0.136	805|1325
[-] : [j]	0.073	0.917	0.136	0|7339
[ɣ] : [x]	0.070	0.568	0.124	785|357
[kʲː] : [kː]	0.066	0.933	0.124	1177|4585
[ts] : [tsː]	0.065	0.967	0.123	1649|3376
[β] : [p]	0.067	0.694	0.122	238|12519
[ʃ] : [s]	0.064	0.906	0.120	3427|13908
[bː] : [b]	0.061	0.979	0.116	454|9197
[s] : [ts]	0.061	0.972	0.115	13908|1649
[dzː] : [tsː]	0.058	0.963	0.110	1485|3376
[dʒ] : [dʒː]	0.050	0.969	0.095	1186|1272
[n] : [ɲ]	0.050	0.776	0.095	24711|82
[m] : [mː]	0.049	0.994	0.093	10715|433
[bː] : [pː]	0.039	0.984	0.075	454|1495
[rː] : [r]	0.033	0.963	0.063	545|26981
[x] : [kː]	0.030	0.696	0.058	357|4585
[nː] : [ɲː]	0.028	0.993	0.054	816|2303
[gʲ] : [dʒ]	0.026	0.960	0.050	534|1186
[ɸ] : [pː]	0.024	0.711	0.047	1666|1495
[f] : [fː]	0.020	1.000	0.040	4816|184
[dz] : [ts]	0.019	0.979	0.038	805|1649
[g] : [x]	0.004	0.732	0.008	7232|357
[z] : [s]	0.001	0.948	0.002	1325|13908
[g] : [gʲ]	0.001	0.953	0.002	7232|534
[gʲ] : [g]	-0.001	0.940	-0.002	534|7232
[s] : [z]	-0.001	0.969	-0.002	13908|1325
[ts] : [dz]	-0.019	0.974	-0.040	1649|805
[fː] : [f]	-0.020	0.997	-0.041	184|4816
[pː] : [ɸ]	-0.024	0.884	-0.050	1495|1666
[r] : [rː]	-0.033	0.965	-0.067	26981|545
[mː] : [m]	-0.049	0.996	-0.102	433|10715
[dʒː] : [dʒ]	-0.050	0.994	-0.105	1272|1186
[ɲ] : [n]	-0.050	0.773	-0.108	82|24711
[tsː] : [dzː]	-0.058	0.965	-0.124	3376|1485
[ts] : [s]	-0.061	0.970	-0.130	1649|13908
[b] : [bː]	-0.061	0.995	-0.131	9197|454
[s] : [ʃ]	-0.064	0.954	-0.138	13908|3427
[kː] : [kʲː]	-0.066	0.926	-0.143	4585|1177
[z] : [dz]	-0.073	0.952	-0.159	1325|805
[j] : [-]	-0.073	0.926	-0.160	7339|0
[tʲ] : [t]	-0.075	0.717	-0.169	75|15823
[h] : [x]	-0.080	0.600	-0.186	1996|357
[k] : [kʲ]	-0.110	0.896	-0.250	10764|1103
[d] : [gʲ]	-0.118	0.955	-0.268	6845|534
[k] : [tʲ]	-0.117	0.774	-0.274	10764|75
[kʲ] : [tʲ]	-0.117	0.751	-0.277	1103|75
[tʃ] : [ʃ]	-0.126	0.938	-0.290	8213|3427
[tsː] : [sː]	-0.133	0.984	-0.307	3376|1396
[ɲ] : [nː]	-0.133	0.772	-0.323	82|816
[ɣ] : [g]	-0.135	0.698	-0.335	785|7232
[β] : [b]	-0.174	0.700	-0.463	238|9197
[dʒ] : [ʒ]	-0.202	0.962	-0.511	1186|568
[ɸ] : [p]	-0.222	0.701	-0.648	1666|12519
[ð] : [d]	-0.246	0.635	-0.801	775|6845
[ɲː] : [ɲ]	-0.269	0.773	-0.825	2303|82
[x] : [k]	-0.270	0.694	-0.886	357|10764
[θ] : [t]	-0.287	0.651	-1.026	3654|15823
[h] : [k]	-0.390	0.749	-1.625	1996|10764
